127.0.0.1, 2015-12-02 14:24:50, GET, /GroupOrder/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000712
127.0.0.1, 2015-12-02 14:24:50, GET, /GroupOrder/static/js/web2py.js, HTTP/1.1, 304, 0.000376
127.0.0.1, 2015-12-02 14:24:50, GET, /GroupOrder/static/js/share.js, HTTP/1.1, 304, 0.001686
127.0.0.1, 2015-12-02 14:24:50, GET, /GroupOrder/static/css/calendar.css, HTTP/1.1, 304, 0.015463
127.0.0.1, 2015-12-02 14:24:50, GET, /GroupOrder/static/js/jquery.js, HTTP/1.1, 304, 0.000458
127.0.0.1, 2015-12-02 14:24:50, GET, /GroupOrder/static/images/gplus-32.png, HTTP/1.1, 304, 0.001016
127.0.0.1, 2015-12-02 14:24:50, GET, /GroupOrder/static/images/twitter.png, HTTP/1.1, 304, 0.001208
127.0.0.1, 2015-12-02 14:24:50, GET, /GroupOrder/static/images/facebook.png, HTTP/1.1, 304, 0.001073
127.0.0.1, 2015-12-02 14:24:50, GET, /GroupOrder/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 304, 0.000821
127.0.0.1, 2015-12-02 14:24:50, GET, /GroupOrder/static/font-awesome-4.4.0/fonts/fontawesome-webfont.woff, HTTP/1.1, 304, 0.000709
127.0.0.1, 2015-12-02 14:24:50, POST, /GroupOrder/default/load_messages, HTTP/1.1, 200, 0.056452
127.0.0.1, 2015-12-02 14:26:01, GET, /GroupOrder/default/index, HTTP/1.1, 200, 0.066420
127.0.0.1, 2015-12-02 14:26:01, GET, /GroupOrder/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000304
127.0.0.1, 2015-12-02 14:26:01, GET, /GroupOrder/static/css/calendar.css, HTTP/1.1, 304, 0.000740
127.0.0.1, 2015-12-02 14:26:01, GET, /GroupOrder/static/js/jquery.js, HTTP/1.1, 304, 0.000785
127.0.0.1, 2015-12-02 14:26:01, GET, /GroupOrder/static/js/calendar.js, HTTP/1.1, 304, 0.000581
127.0.0.1, 2015-12-02 14:26:01, GET, /GroupOrder/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000816
127.0.0.1, 2015-12-02 14:26:01, GET, /GroupOrder/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.002919
127.0.0.1, 2015-12-02 14:26:01, GET, /GroupOrder/static/js/web2py.js, HTTP/1.1, 304, 0.001828
127.0.0.1, 2015-12-02 14:26:01, GET, /GroupOrder/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001615
127.0.0.1, 2015-12-02 14:26:01, GET, /GroupOrder/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.002979
127.0.0.1, 2015-12-02 14:26:01, GET, /GroupOrder/static/css/myapp.css, HTTP/1.1, 304, 0.005497
127.0.0.1, 2015-12-02 14:26:01, GET, /GroupOrder/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000492
127.0.0.1, 2015-12-02 14:26:01, GET, /GroupOrder/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000604
127.0.0.1, 2015-12-02 14:26:01, GET, /GroupOrder/static/js/share.js, HTTP/1.1, 304, 0.000641
127.0.0.1, 2015-12-02 14:26:01, GET, /GroupOrder/static/images/facebook.png, HTTP/1.1, 304, 0.000678
127.0.0.1, 2015-12-02 14:26:01, GET, /GroupOrder/static/images/twitter.png, HTTP/1.1, 304, 0.002170
127.0.0.1, 2015-12-02 14:26:01, GET, /GroupOrder/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 304, 0.000716
127.0.0.1, 2015-12-02 14:26:01, GET, /GroupOrder/static/images/gplus-32.png, HTTP/1.1, 304, 0.001996
127.0.0.1, 2015-12-02 14:26:01, GET, /GroupOrder/static/font-awesome-4.4.0/fonts/fontawesome-webfont.woff, HTTP/1.1, 304, 0.000510
127.0.0.1, 2015-12-02 14:26:01, POST, /GroupOrder/default/load_messages, HTTP/1.1, 200, 0.082209
